Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2UDARQiksl207HcSduDpov,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,-1,"Is it sacrilegious to not like a Beyoncé song? Something about this just isn’t doing it for me. The slowness? The country undertones? The posty feature? Whatever, she’s in on the P Diddy accusations anyway who cares - wasn’t a fan, sorry ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,0,"Alright, already, the show goes on
All night, ’til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on
Alright, already, the show goes on
All night, ’til the morning we dream so long
Anybody ever wonder, when they would see the sun up
Just remember when you come up, the show goes on alright

(Was fine, didn’t love it but I get the vibe)",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,Nice indie song kru you Brooklyn hipster you,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,0,"Queen Lipa, forever me for not submitting any votes for this - I love u, was just neutral on this song. I love you",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,0,"Listen I GET it, I get the vibe he going for. But sadly it did not slap the way I needed it to. I wasn’t in my feels this summer nor was I single trying to be angsty, however I did get flashbacks to college summer evenings nostalgically missing a girl I met for 35 seconds who didn’t know I existed. This was not a good memory. 0 votes for me",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,"POST MALONE ALERT🚨 you got POST MALONE’D, send this to 6 friends or else Post Malone will show up at your home and punch you in the face with a cigarette ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,2,"Yo I love these fools, rip Mac his feature on this would’ve SLAPPED",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:59xEHW3Oy9ERJSxpJ4YsWz,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,"A nice blend of calm but summer but also would work in fall? Sounds like a song I could put on in any season, and it definitely appeased my summer girl needs. Big fan",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,2,"IS NEON TREES BACK!?!? Wish I heard this earlier, for sure would’ve been a summer time banger ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,c71559f03ee741ccb05a0ea1d0895e44,2024-10-07T22:41:23Z,1,"Made me feel like the main character of a shitty indie Netflix summertime rom com, it was perfect",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:6FNpgPgWAxrtH6uYwDAOmU,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,2,Relaxing but still a bop,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,0,Haven’t heard of this band before! ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,85de7566158f440eab6db0a28c89d0fb,2024-10-08T03:35:55Z,2,Definitely a song you could blast with the windows down,2be216f7413f4f7bae842351b9ab7fd3
